,Area,Item,Year,hg/ha_yield,Avg Rainfall (mm),pesticides_tonnes,Avg Temperature (°C),State,Soil Type
1,India,Cassava,1990,205381,1083,75000,25.58,Kerala ,"Sandy,Loamy"
2,India,Cassava,1990,205381,1083,75000,26.88,Kerala ,"Sandy,Loamy"
3,India,Cassava,1990,205381,1083,75000,25.79,Kerala ,"Sandy,Loamy"
4,India,Cassava,1990,205381,1083,75000,24.1,Kerala ,"Sandy,Loamy"
5,India,Cassava,1990,205381,1083,75000,25.25,Kerala ,"Sandy,Loamy"
6,India,Cassava,1990,205381,1083,75000,25.44,Kerala ,"Sandy,Loamy"
7,India,Cassava,1990,205381,1083,75000,25.54,Kerala ,"Sandy,Loamy"
8,India,Cassava,1990,205381,1083,75000,26.36,Kerala ,"Sandy,Loamy"
9,India,Cassava,1990,205381,1083,75000,26.91,Kerala ,"Sandy,Loamy"
10,India,Cassava,1990,205381,1083,75000,25.16,Kerala ,"Sandy,Loamy"
11,India,Cassava,1990,205381,1083,75000,25.77,Tamil nadu,"Sandy,Loamy"
12,India,Cassava,1990,205381,1083,75000,25.12,Tamil nadu,"Sandy,Loamy"
13,India,Cassava,1990,205381,1083,75000,24.1,Tamil nadu,"Sandy,Loamy"
14,India,Cassava,1990,205381,1083,75000,25.68,Tamil nadu,"Sandy,Loamy"
15,India,Cassava,1990,205381,1083,75000,25.54,Tamil nadu,"Sandy,Loamy"
16,India,Cassava,1990,205381,1083,75000,25.44,Tamil nadu,"Sandy,Loamy"
17,India,Cassava,1990,205381,1083,75000,24.78,Tamil nadu,"Sandy,Loamy"
18,India,Cassava,1990,205381,1083,75000,26.59,Tamil nadu,"Sandy,Loamy"
19,India,Cassava,1990,205381,1083,75000,24.37,Tamil nadu,"Sandy,Loamy"
20,India,Cassava,1990,205381,1083,75000,26.63,Tamil nadu,"Sandy,Loamy"
21,India,Cassava,1990,205381,1083,75000,26.63,Tamil nadu,"Sandy,Loamy"
22,India,Cassava,1990,205381,1083,75000,25.64,Tamil nadu,"Sandy,Loamy"
23,India,Maize,1990,15178,1083,75000,25.58,Karnataka ,"Loamy,Sandy"
24,India,Maize,1990,15178,1083,75000,26.88,Karnataka ,"Loamy,Sandy"
25,India,Maize,1990,15178,1083,75000,25.79,Karnataka ,"Loamy,Sandy"
26,India,Maize,1990,15178,1083,75000,24.1,Karnataka ,"Loamy,Sandy"
27,India,Maize,1990,15178,1083,75000,25.25,Karnataka ,"Loamy,Sandy"
28,India,Maize,1990,15178,1083,75000,25.44,Andhra Pradesh,"Loamy,Sandy"
29,India,Maize,1990,15178,1083,75000,25.54,Andhra Pradesh,"Loamy,Sandy"
30,India,Maize,1990,15178,1083,75000,26.36,Andhra Pradesh,"Loamy,Sandy"
31,India,Maize,1990,15178,1083,75000,26.91,Andhra Pradesh,"Loamy,Sandy"
32,India,Maize,1990,15178,1083,75000,25.16,Andhra Pradesh,"Loamy,Sandy"
33,India,Maize,1990,15178,1083,75000,25.77,Bihar,"Loamy,Sandy"
34,India,Maize,1990,15178,1083,75000,25.12,Bihar,"Loamy,Sandy"
35,India,Maize,1990,15178,1083,75000,24.1,Bihar,"Loamy,Sandy"
36,India,Maize,1990,15178,1083,75000,25.68,Bihar,"Loamy,Sandy"
37,India,Maize,1990,15178,1083,75000,25.54,Bihar,"Loamy,Sandy"
38,India,Maize,1990,15178,1083,75000,25.44,Bihar,"Loamy,Sandy"
39,India,Maize,1990,15178,1083,75000,24.78,Bihar,"Loamy,Sandy"
40,India,Maize,1990,15178,1083,75000,26.59,Bihar,"Loamy,Sandy"
41,India,Maize,1990,15178,1083,75000,24.37,Bihar,"Loamy,Sandy"
42,India,Maize,1990,15178,1083,75000,26.63,Bihar,"Loamy,Sandy"
43,India,Maize,1990,15178,1083,75000,26.63,Bihar,"Loamy,Sandy"
44,India,Maize,1990,15178,1083,75000,25.64,Bihar,"Loamy,Sandy"
45,India,Potatoes,1990,157136,1083,75000,25.58,Uttar Pradesh,"Sandy, Loamy"
46,India,Potatoes,1990,157136,1083,75000,26.88,Uttar Pradesh,"Sandy, Loamy"
47,India,Potatoes,1990,157136,1083,75000,25.79,Uttar Pradesh,"Sandy, Loamy"
48,India,Potatoes,1990,157136,1083,75000,24.1,Uttar Pradesh,"Sandy, Loamy"
49,India,Potatoes,1990,157136,1083,75000,25.25,Uttar Pradesh,"Sandy, Loamy"
50,India,Potatoes,1990,157136,1083,75000,25.44,Uttar Pradesh,"Sandy, Loamy"
51,India,Potatoes,1990,157136,1083,75000,25.54,Uttar Pradesh,"Sandy, Loamy"
52,India,Potatoes,1990,157136,1083,75000,26.36,Uttar Pradesh,"Sandy, Loamy"
53,India,Potatoes,1990,157136,1083,75000,26.91,Uttar Pradesh,"Sandy, Loamy"
54,India,Potatoes,1990,157136,1083,75000,25.16,Uttar Pradesh,"Sandy, Loamy"
55,India,Potatoes,1990,157136,1083,75000,25.77,West Bengal,"Sandy, Loamy"
56,India,Potatoes,1990,157136,1083,75000,25.12,West Bengal,"Sandy, Loamy"
57,India,Potatoes,1990,157136,1083,75000,24.1,West Bengal,"Sandy, Loamy"
58,India,Potatoes,1990,157136,1083,75000,25.68,West Bengal,"Sandy, Loamy"
59,India,Potatoes,1990,157136,1083,75000,25.54,West Bengal,"Sandy, Loamy"
60,India,Potatoes,1990,157136,1083,75000,25.44,Punjab,"Sandy, Loamy"
61,India,Potatoes,1990,157136,1083,75000,24.78,Punjab,"Sandy, Loamy"
62,India,Potatoes,1990,157136,1083,75000,26.59,Punjab,"Sandy, Loamy"
63,India,Potatoes,1990,157136,1083,75000,24.37,Punjab,"Sandy, Loamy"
64,India,Potatoes,1990,157136,1083,75000,26.63,Punjab,"Sandy, Loamy"
65,India,Potatoes,1990,157136,1083,75000,26.63,Punjab,"Sandy, Loamy"
66,India,Potatoes,1990,157136,1083,75000,25.64,Punjab,"Sandy, Loamy"
67,India,Rice,1990,26125,1083,75000,25.58,West Bengal,"Clay, Clayskeletal"
68,India,Rice,1990,26125,1083,75000,26.88,West Bengal,"Clay, Clayskeletal"
69,India,Rice,1990,26125,1083,75000,25.79,West Bengal,"Clay, Clayskeletal"
70,India,Rice,1990,26125,1083,75000,24.1,West Bengal,"Clay, Clayskeletal"
71,India,Rice,1990,26125,1083,75000,25.25,West Bengal,"Clay, Clayskeletal"
72,India,Rice,1990,26125,1083,75000,25.44,West Bengal,"Clay, Clayskeletal"
73,India,Rice,1990,26125,1083,75000,25.54,Punjab,"Clay, Clayskeletal"
74,India,Rice,1990,26125,1083,75000,26.36,Punjab,"Clay, Clayskeletal"
75,India,Rice,1990,26125,1083,75000,26.91,Punjab,"Clay, Clayskeletal"
76,India,Rice,1990,26125,1083,75000,25.16,Punjab,"Clay, Clayskeletal"
77,India,Rice,1990,26125,1083,75000,25.77,Punjab,"Clay, Clayskeletal"
78,India,Rice,1990,26125,1083,75000,25.12,Tamil nadu,"Clay, Clayskeletal"
79,India,Rice,1990,26125,1083,75000,24.1,Tamil nadu,"Clay, Clayskeletal"
80,India,Rice,1990,26125,1083,75000,25.68,Tamil nadu,"Clay, Clayskeletal"
81,India,Rice,1990,26125,1083,75000,25.54,Tamil nadu,"Clay, Clayskeletal"
82,India,Rice,1990,26125,1083,75000,25.44,Tamil nadu,"Clay, Clayskeletal"
83,India,Rice,1990,26125,1083,75000,24.78,Tamil nadu,"Clay, Clayskeletal"
84,India,Rice,1990,26125,1083,75000,26.59,Andhra Pradesh,"Clay, Clayskeletal"
85,India,Rice,1990,26125,1083,75000,24.37,Andhra Pradesh,"Clay, Clayskeletal"
86,India,Rice,1990,26125,1083,75000,26.63,Andhra Pradesh,"Clay, Clayskeletal"
87,India,Rice,1990,26125,1083,75000,26.63,Andhra Pradesh,"Clay, Clayskeletal"
88,India,Rice,1990,26125,1083,75000,25.64,Andhra Pradesh,"Clay, Clayskeletal"
